SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532386,CALIFORN.SOF,T ,Q,36.15,36.15,36.15,36.15,36.15,38.05,13,3848,139105.00,
532387,PRITISHN COM,B ,Q,16.90,16.90,16.85,16.90,16.90,15.60,6,165,2787.00,
532388,INDIAN OVER.,A ,Q,17.30,17.50,16.15,16.80,16.80,17.40,319,106289,1811795.00,
532390,TAJ GVK HOTL,B ,Q,225.10,230.65,218.00,220.05,221.10,223.85,240,11824,2654560.00,
532391,OPTO CIRCUIT,B ,Q,10.80,10.84,10.00,10.07,10.19,10.82,317,132528,1365471.00,
532395,AXISCADES   ,B ,Q,158.65,160.15,151.00,151.30,151.10,157.95,111,4108,630791.00,
532398,UMESL       ,B ,Q,1.11,1.11,1.02,1.02,1.02,1.06,2,5100,5652.00,
532400,KPIT        ,A ,Q,260.00,260.05,256.45,257.30,256.70,259.35,505,38425,9900923.00,
532401,VIJAYA BANK ,A ,Q,59.55,60.40,57.70,58.25,58.25,59.25,588,1573886,94226380.00,
532406,AVANTEL LTD ,X ,Q,546.70,546.80,530.00,530.60,531.00,535.90,79,2807,1500901.00,
532407,MOSCHIP SEMI,X ,Q,35.85,35.85,32.40,32.90,32.75,33.70,145,90119,3011008.00,
532408,MEGASOFT LTD,B ,Q,11.41,11.80,11.00,11.50,11.50,11.35,64,20620,236506.00,
532410,TRANSCORP IN,XT,Q,41.50,41.50,38.25,40.05,40.10,40.10,20,1820,71397.00,
532411,VISESH INFO.,T ,Q,0.23,0.23,0.23,0.23,0.23,0.23,3,15505,3566.00,
532413,CEREBRA INTE,T ,Q,62.75,63.30,62.00,62.85,62.10,62.30,125,80605,5060471.00,
532414,IKF TECHNO  ,X ,Q,0.60,0.61,0.58,0.60,0.60,0.61,23,27907,16368.00,
532416,MID-DAY MULT,B ,Q,13.85,14.45,13.80,14.45,14.45,13.50,6,831,11789.00,
532418,ANDHRA BANK ,A ,Q,36.05,37.05,35.50,35.90,36.05,36.40,667,244657,8802830.00,
532419,SMARTLINK   ,B ,Q,109.00,109.05,105.90,108.25,108.30,110.85,142,9498,1026362.00,
532424,GODREJ CONS ,A ,Q,1032.15,1090.00,1032.15,1081.80,1081.80,1078.65,599,11112,11942305.00,
532430,BF UTILI    ,A ,Q,398.90,403.90,389.15,393.25,393.25,396.15,1894,80810,32048314.00,
532432,UNITD SPR   ,B ,Q,3248.00,3260.40,3160.00,3194.00,3194.00,3238.60,1698,24690,79284203.00,
532439,GOLDST INFRA,B ,Q,158.45,159.00,145.00,148.00,148.00,158.05,329,43639,6652470.00,
532440,MPS LTD     ,B ,Q,648.55,648.55,629.05,633.60,629.05,640.10,205,2150,1372260.00,
532441,RNBOWDENIM  ,XT,Q,4.09,4.09,3.89,3.89,3.89,4.09,12,21502,83642.00,
532443,CERA SANITAR,B ,Q,2993.95,3024.65,2901.00,2939.10,2910.25,2982.35,144,412,1235768.00,
532444,T. SPIRITUAL,X ,Q,0.88,0.88,0.88,0.88,0.88,0.89,2,1000,880.00,
532454,BHARTI ARTL ,A ,Q,389.80,393.95,372.65,381.50,381.50,385.70,4096,433370,166852814.00,
532455,SHALIMAR WIR,X ,Q,18.65,20.40,18.65,20.35,20.35,19.45,37,7306,146804.00,
532456,COMPUAGE INF,B ,Q,37.50,39.00,36.70,38.65,38.95,37.65,88,14289,544999.00,
532457,GULSHAN POLY,B ,Q,69.30,69.80,69.00,69.50,69.00,70.05,20,2220,153686.00,
532459,AUNDE IND   ,XT,Q,56.00,56.00,56.00,56.00,56.00,54.90,1,1,56.00,
532460,PONNI SUG(ER,B ,Q,136.25,141.95,135.00,141.95,141.95,143.75,10,835,113374.00,
532461,PUNJAB NATIO,A ,Q,88.70,90.90,88.05,89.40,89.40,88.65,4135,1279091,114567255.00,
532466,ORACLE FIN  ,A ,Q,4105.00,4133.35,4008.90,4095.05,4095.05,4137.15,385,1773,7224450.00,
532467,HAZ MUL PRO ,X ,Q,0.72,0.78,0.72,0.78,0.78,0.75,15,20174,15103.00,
532468,KAMAHOLDING ,B ,Q,5031.00,5080.00,5000.00,5044.40,5000.00,5039.85,7,24,120899.00,
532475,APTECH LTD  ,B ,Q,264.00,264.80,250.35,253.75,251.80,263.15,771,59043,15263059.00,
532477,UNION BANK L,A ,Q,87.10,90.15,86.40,88.10,87.95,88.25,2674,591615,52035426.00,
532478,UNITED BREWA,A ,Q,1132.00,1132.00,1089.75,1100.80,1100.80,1111.80,326,7055,7789747.00,
532479,ISMT LTD    ,B ,Q,7.25,7.25,6.70,6.70,6.70,7.05,59,26871,182232.00,
